% MSC Adams results for 4 bars inverse dynamics experiment.
% See README.md
% timestamp       torque            actual angle
   1.0750000e+00   2.7448070e+01   1.0638850e+02
   1.0800000e+00   2.8134290e+01   1.0696200e+02
   1.0850000e+00   2.8815900e+01   1.0753170e+02
   1.0900000e+00   2.9492520e+01   1.0809750e+02
   1.0950000e+00   3.0163830e+01   1.0865940e+02
   1.1000000e+00   3.0829480e+01   1.0921730e+02
   1.1050000e+00   3.1489160e+01   1.0977110e+02
   1.1100000e+00   3.2142560e+01   1.1032090e+02
   1.1150000e+00   3.2789380e+01   1.1086650e+02
   1.1200000e+00   3.3429350e+01   1.1140790e+02
   1.1250000e+00   3.4062180e+01   1.1194500e+02
   1.1300000e+00   3.4687630e+01   1.1247780e+02
   1.1350000e+00   3.5305440e+01   1.1300620e+02
   1.1400000e+00   3.5915390e+01   1.1353020e+02
   1.1450000e+00   3.6517240e+01   1.1404970e+02
   1.1500000e+00   3.7110800e+01   1.1456470e+02
   1.1550000e+00   3.7695870e+01   1.1507510e+02
   1.1600000e+00   3.8272270e+01   1.1558090e+02
   1.1650000e+00   3.8839820e+01   1.1608200e+02
   1.1700000e+00   3.9398370e+01   1.1657830e+02
   1.1750000e+00   3.9947780e+01   1.1706990e+02
   1.1800000e+00   4.0487910e+01   1.1755670e+02
   1.1850000e+00   4.1018650e+01   1.1803850e+02
   1.1900000e+00   4.1539890e+01   1.1851550e+02
   1.1950000e+00   4.2051530e+01   1.1898750e+02
   1.2000000e+00   4.2553490e+01   1.1945440e+02
   1.2050000e+00   4.3045700e+01   1.1991630e+02
   1.2100000e+00   4.3528100e+01   1.2037300e+02
   1.2150000e+00   4.4000640e+01   1.2082460e+02
   1.2200000e+00   4.4463290e+01   1.2127100e+02
   1.2250000e+00   4.4916010e+01   1.2171210e+02
   1.2300000e+00   4.5358800e+01   1.2214800e+02
   1.2350000e+00   4.5791640e+01   1.2257850e+02
   1.2400000e+00   4.6214540e+01   1.2300360e+02
   1.2450000e+00   4.6627520e+01   1.2342330e+02
   1.2500000e+00   4.7030600e+01   1.2383750e+02
   1.2550000e+00   4.7423820e+01   1.2424620e+02
   1.2600000e+00   4.7807220e+01   1.2464940e+02
   1.2650000e+00   4.8180840e+01   1.2504700e+02
   1.2700000e+00   4.8544750e+01   1.2543890e+02
   1.2750000e+00   4.8899020e+01   1.2582520e+02
   1.2800000e+00   4.9243710e+01   1.2620580e+02
   1.2850000e+00   4.9578920e+01   1.2658060e+02
   1.2900000e+00   4.9904730e+01   1.2694970e+02
   1.2950000e+00   5.0221240e+01   1.2731290e+02
